Country,Industry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Advanced Economies,"Agriculture, Forestry and Fishing",195.40050029,192.92437170000002,193.8394538,191.49746772,192.41373719,194.96590860999999,189.01460679000002,190.79853339,189.59330817,189.20064436,184.77129559,188.24150676,182.6349859
Advanced Economies,Construction,323.82245584,300.00613222000004,304.93432416999997,312.07465824999997,312.85175874000004,328.32297435,336.95790309,335.82628267,340.77512997,348.07213291000005,345.09757636999996,354.75970268,360.00346316
Advanced Economies,"Electricity, Gas, Steam and Air Conditioning Supply",4538.991298000001,4478.421755,4415.683738,4364.45464,4245.955898,4084.5444418,3708.7237333000003,3601.8206112,3514.5153855,3232.5606251,2936.0803739000003,3089.7457615,3100.8819279
Advanced Economies,Manufacturing,2584.5480447,2596.2431849,2560.7582596,2582.8341919,2559.8740466,2529.3161941,2241.5354492999995,2237.5089334,2244.3021046,2211.4177796000004,2055.4827194,2134.0421539,2092.1623783
Advanced Economies,Mining,304.89998635,318.81487963,319.46744904,334.57196817,339.86649889,316.422099,291.75186519,316.75803643,345.76676691,352.51648296999997,311.11405345000003,312.74662297,309.65536081
Advanced Economies,Other Services Industries,1115.7206791,1067.8997411,1036.6839917,1079.1321467,1072.9105175,1109.3398057,1040.0345615,1051.5609273,1093.8974834,1097.3744511999998,1007.9322043999999,1062.7601796999998,1076.2712113
Advanced Economies,Total Households,2308.3081524,2223.5058657,2169.9473334,2212.5418627999998,2180.979612,2179.6694227,2126.7760516999997,2120.2938504,2158.2213875999996,2149.3401971,1903.1577227999999,2025.7335877,2032.8321216000002
Advanced Economies,Total Industry and Households,12933.058289,12737.202580000001,12537.73085,12619.295978,12441.114828999998,12330.007626,11513.080737,11486.808208,11570.738801,11278.856864000001,10149.568628,10682.732763,10759.043735
Advanced Economies,Transportation and Storage,1494.7668454999998,1494.1161335000002,1471.7663232999998,1477.4728321,1471.9383413,1522.8932160999998,1511.7922847,1564.2406038,1614.5859617,1628.4571352,1338.2427824000001,1447.0040795,1537.0432885999999
Advanced Economies,"Water supply; sewerage, waste management and remediation activities",66.60032537,65.27051569,64.64997607,64.71621078,64.32441793999999,64.5335626,66.49428189,68.00042916,69.08127254,69.91741528,67.68990007,67.69916836000002,67.55899693
Africa,"Agriculture, Forestry and Fishing",13.725200296,13.902054498999998,14.998108859,16.291397097999997,16.36643766,16.189238625,16.560194251000002,18.48017089,18.063780147000003,17.280530060999997,17.448904436,18.520583598,18.971205321
Africa,Construction,14.560899066000001,14.494328564999998,14.332419482,15.158448148,15.435730851,14.899867596,15.158885816,15.589795243000001,16.677782417,15.917822304,15.009847037,16.075515121000002,16.016404143
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",420.88772475,416.23302231,440.9923928,450.9209915,479.00312859999997,475.50475240000003,474.69301509999997,478.4292765,483.0416562,505.13790529999994,455.53397759999996,478.0105402,464.40295419999995
Africa,Manufacturing,302.77863435,298.09901653000003,310.15022122,313.08636211,320.17476232,317.07780285,330.05934489,344.58238530000006,364.25033428,342.60068262,324.80521211999996,348.04790447999994,345.35457822
Africa,Mining,111.67981557,105.13348085,107.3103758,106.47168964,105.57185725999999,104.44830083,101.80407663,105.31504218,106.81970777000001,105.94108449000001,97.1033885,101.20579495999999,98.75619364
Africa,Other Services Industries,20.714811935,21.768840322,24.712546855,25.021749231,25.340031939,24.842296265,23.668628708,27.105433060000003,26.090209165999998,24.990776213,24.353233965999998,26.206600025,26.49841636
Africa,Total Households,174.08693609,181.45559151,199.51494832999998,213.03218885,220.78127908999997,221.49481153,225.64376627,233.58208433000001,236.40865749999998,236.86679788,221.50112255,240.55759321,251.34386136
Africa,Total Industry and Households,1248.8616871,1247.0010879000001,1321.3848368,1363.0416046,1414.6149351,1409.817826,1429.1883525,1470.7729758,1504.0893265000002,1503.3245119,1382.9471015000001,1475.7156717,1484.8432113
Africa,Transportation and Storage,184.52964688,189.7163792,202.33804073,215.93448086,224.72632459999997,228.28635401999998,234.85905910000002,239.96969209,245.30612582000003,247.46984192,220.25276945,239.62497018,255.94975096999997
Africa,"Water supply; sewerage, waste management and remediation activities",5.898018104,6.198374064,7.035782835,7.124297083,7.215382838,7.074402001999999,6.741381745,7.719096106,7.431073302,7.119071129,6.938645873,7.466169905,7.5498472119999995
Americas,"Agriculture, Forestry and Fishing",92.16338059,94.35134237,96.73061468,96.83431462,98.62397614000001,98.1530037,100.39694318,102.09922667,103.24325121999999,104.10853207000001,101.60046582,105.2702694,108.0341986
Americas,Construction,270.2656133,247.19122955999998,253.13514450999998,261.67113059999997,253.63130936,266.15230771999995,285.171468,283.50059942,286.49916147,293.29064344,292.77102104000005,296.94328149,305.88533663
Americas,"Electricity, Gas, Steam and Air Conditioning Supply",2764.4677033999997,2672.0344978000003,2579.433769,2601.6509803999998,2614.1982517,2496.5707436,2375.5800633999997,2281.7687447,2268.7716803000003,2118.9459217,1893.6777731,2037.9043142,1998.87176
Americas,Manufacturing,1431.638707,1471.8955505,1487.8981853,1494.5559130000001,1476.5285973999999,1430.2111760000003,1397.3602707,1408.5043484999999,1402.9851835,1395.2981492999997,1295.3125893,1332.8738695,1347.4948409
Americas,Mining,290.93198162000004,311.25374448,331.1208092,346.1743376,352.43635401,323.30864484,289.29916903000003,303.16062777999997,325.94653424,328.01834685,290.87712345,298.63470537,299.09170626
Americas,Other Services Industries,755.5856610000001,734.0987405,704.2017455,738.8717953,763.6190270000001,794.0881576,770.7797195,783.2620162,821.3216678,829.7484241,759.595504,804.5523874,832.8070195999999
